idx  	P1   	P17  	P40  	P49  
1    	64   	-8   	-12  	-8   
2    	0    	4    	-16  	4    
3    	-12  	4    	0    	16   
4    	-4   	0    	8    	4    
5    	4    	-8   	-8   	-24  
6    	4    	4    	-4   	-8   
7    	4    	4    	4    	8    
8    	-8   	-4   	8    	4    
9    	0    	0    	4    	4    
10   	-4   	-8   	-4   	-12  
11   	4    	4    	-8   	-16  
12   	4    	4    	8    	0    
13   	-8   	4    	0    	8    
14   	0    	-4   	-16  	-8   
15   	4    	-12  	-12  	-4   
16   	4    	0    	4    	4    
17   	-8   	64   	4    	8    
18   	4    	0    	8    	4    
19   	16   	-12  	-8   	-4   
20   	4    	-4   	-24  	-8   
21   	-24  	4    	4    	8    
22   	-8   	4    	16   	0    
23   	8    	4    	4    	-16  
24   	4    	-8   	-8   	-12  
25   	4    	0    	4    	4    
26   	-12  	-4   	4    	4    
27   	-16  	4    	0    	8    
28   	0    	4    	-8   	-8   
29   	8    	-8   	4    	-24  
30   	-8   	0    	4    	4    
31   	-4   	4    	-4   	16   
32   	4    	4    	0    	4    
33   	8    	-8   	-8   	-8   
34   	4    	4    	4    	4    
35   	-4   	16   	4    	4    
36   	-8   	4    	4    	0    
37   	8    	-24  	-4   	-8   
38   	0    	-8   	-12  	4    
39   	-16  	8    	0    	4    
40   	-12  	4    	64   	-4   
41   	4    	4    	0    	0    
42   	4    	-12  	-12  	-8   
43   	8    	-16  	-4   	4    
44   	-8   	0    	4    	4    
45   	-24  	8    	4    	4    
46   	4    	-8   	4    	-4   
47   	16   	-4   	-8   	-12  
48   	4    	4    	0    	0    
49   	-8   	8    	-4   	64   
50   	4    	4    	4    	0    
51   	4    	-4   	4    	-12  
52   	0    	-8   	-8   	-4   
53   	-8   	8    	0    	4    
54   	4    	0    	4    	4    
55   	4    	-16  	4    	4    
56   	-4   	-12  	-8   	-8   
57   	0    	4    	4    	0    
58   	-8   	4    	16   	-4   
59   	4    	8    	4    	4    
60   	4    	-8   	-24  	4    
61   	4    	-24  	-8   	-8   
62   	-4   	4    	8    	0    
63   	-12  	16   	4    	4    
64   	0    	4    	4    	4    
