fa_p8_f3,md_p8_f3,fa_p8_f5,md_p8_f5,fa_p8_f9,md_p8_f9,fa_p16_f3,md_p16_f3,fa_p16_f5,md_p16_f5,fa_p16_f9,md_p16_f9,fa_p64_f3,md_p64_f3,fa_p64_f5,md_p64_f5,fa_p64_f9,md_p64_f9
8.987727e-01,0.000000e+00,8.521380e-02,0.000000e+00,1.078759e-01,0.000000e+00,3.272484e-01,0.000000e+00,2.992360e-02,0.000000e+00,3.961910e-02,0.000000e+00,5.198316e-01,0.000000e+00,1.834300e-03,0.000000e+00,2.603500e-03,0.000000e+00
8.377671e-01,0.000000e+00,5.875590e-02,0.000000e+00,7.558120e-02,0.000000e+00,2.493509e-01,0.000000e+00,1.954680e-02,1.000000e-07,2.619420e-02,0.000000e+00,4.213682e-01,0.000000e+00,1.096400e-03,0.000000e+00,1.565900e-03,0.000000e+00
7.598653e-01,0.000000e+00,3.978640e-02,0.000000e+00,5.186700e-02,0.000000e+00,1.847840e-01,1.000000e-07,1.254590e-02,1.000000e-07,1.704410e-02,1.000000e-07,3.309158e-01,0.000000e+00,6.537000e-04,1.000000e-07,9.296000e-04,1.000000e-07
6.687093e-01,0.000000e+00,2.639310e-02,0.000000e+00,3.502810e-02,0.000000e+00,1.335313e-01,2.000000e-07,7.931800e-03,1.000000e-07,1.093580e-02,1.000000e-07,2.524124e-01,0.000000e+00,3.802000e-04,4.000000e-07,5.431000e-04,1.000000e-07
5.703197e-01,1.000000e-07,1.723420e-02,1.000000e-07,2.320200e-02,1.000000e-07,9.440320e-02,5.000000e-07,4.942400e-03,2.000000e-07,6.903400e-03,1.000000e-07,1.872517e-01,2.000000e-07,2.146000e-04,6.000000e-07,3.144000e-04,3.000000e-07
4.711906e-01,1.000000e-07,1.109510e-02,2.000000e-07,1.512820e-02,1.000000e-07,6.532780e-02,9.000000e-07,3.033400e-03,2.000000e-07,4.300400e-03,2.000000e-07,1.353899e-01,4.000000e-07,1.216000e-04,1.200000e-06,1.812000e-04,6.000000e-07
3.772899e-01,1.000000e-07,7.046300e-03,6.000000e-07,9.706100e-03,2.000000e-07,4.429600e-02,1.900000e-06,1.821800e-03,4.000000e-07,2.647500e-03,2.000000e-07,9.560650e-02,5.000000e-07,6.890000e-05,1.800000e-06,1.015000e-04,1.000000e-06
2.935198e-01,1.000000e-07,4.402400e-03,7.000000e-07,6.105900e-03,3.000000e-07,2.955540e-02,2.900000e-06,1.090300e-03,4.000000e-07,1.589900e-03,2.000000e-07,6.600630e-02,8.000000e-07,3.650000e-05,2.600000e-06,5.800000e-05,1.600000e-06
2.221221e-01,1.000000e-07,2.726800e-03,9.000000e-07,3.813000e-03,4.000000e-07,1.942300e-02,4.700000e-06,6.514000e-04,9.000000e-07,9.542000e-04,3.000000e-07,4.479790e-02,1.300000e-06,2.010000e-05,4.000000e-06,3.150000e-05,2.000000e-06
1.637942e-01,2.000000e-07,1.656300e-03,2.300000e-06,2.339200e-03,7.000000e-07,1.255320e-02,7.800000e-06,3.809000e-04,1.700000e-06,5.657000e-04,4.000000e-07,2.980820e-02,2.000000e-06,1.050000e-05,6.100000e-06,1.620000e-05,2.900000e-06
1.179897e-01,7.000000e-07,9.930000e-04,3.300000e-06,1.421500e-03,1.300000e-06,7.968800e-03,1.090000e-05,2.187000e-04,2.300000e-06,3.308000e-04,8.000000e-07,1.949530e-02,3.300000e-06,6.500000e-06,9.100000e-06,8.700000e-06,3.600000e-06
8.312820e-02,1.700000e-06,5.909000e-04,4.800000e-06,8.441000e-04,2.000000e-06,4.999000e-03,1.760000e-05,1.246000e-04,3.100000e-06,1.892000e-04,1.100000e-06,1.258570e-02,4.800000e-06,4.000000e-06,1.350000e-05,4.200000e-06,5.700000e-06
5.748190e-02,3.900000e-06,3.563000e-04,7.000000e-06,5.011000e-04,3.200000e-06,3.088200e-03,2.520000e-05,6.900000e-05,4.200000e-06,1.071000e-04,1.500000e-06,8.030500e-03,7.600000e-06,2.200000e-06,1.770000e-05,2.600000e-06,8.100000e-06
