real             imag             q4r              q4i              q6r              q6i             
+0.9999811752826 +0.0061358846492 +1.0000000000000 +0.0000000000000 +1.0000000000000 +0.0000000000000
+0.9999811752826 -0.0061358846492 +1.0000000000000 +0.0000000000000 +1.0000000000000 +0.0000000000000
+0.9998305817958 -0.0184067299058 +1.0000000000000 +0.0000000000000 +1.0000000000000 -0.0312500000000
+0.9995294175011 -0.0306748031766 +1.0000000000000 +0.0000000000000 +1.0000000000000 -0.0312500000000
+0.9990777277526 -0.0429382569349 +1.0000000000000 +0.0000000000000 +1.0000000000000 -0.0312500000000
+0.9984755805733 -0.0551952443497 +1.0000000000000 +0.0000000000000 +1.0000000000000 -0.0625000000000
+0.9977230666442 -0.0674439195637 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.0625000000000
+0.9968202992912 -0.0796824379714 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.0937500000000
+0.9957674144677 -0.0919089564971 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.0937500000000
+0.9945645707343 -0.1041216338721 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.0937500000000
+0.9932119492348 -0.1163186309119 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.1250000000000
+0.9917097536691 -0.1284981107938 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.1250000000000
+0.9900582102623 -0.1406582393328 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.1562500000000
+0.9882575677307 -0.1527971852584 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.1562500000000
+0.9863080972446 -0.1649131204900 +1.0000000000000 -0.1250000000000 +1.0000000000000 -0.1562500000000
+0.9842100923869 -0.1770042204121 +1.0000000000000 -0.1250000000000 +0.9687500000000 -0.1875000000000
+0.9819638691096 -0.1890686641498 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.1875000000000
+0.9795697656854 -0.2011046348421 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.1875000000000
+0.9770281426578 -0.2131103199161 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2187500000000
+0.9743393827856 -0.2250839113598 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2187500000000
+0.9715038909863 -0.2370236059944 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2500000000000
+0.9685220942744 -0.2489276057457 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2500000000000
+0.9653944416977 -0.2607941179153 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2500000000000
+0.9621214042690 -0.2726213554499 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2812500000000
