edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_LINF         
-5.00            0                0                0                0                0                0                0                0                1.0000000        1.0000000        1.0000000        1.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.75            0                0                0                0                0                0                0                0                1.0000000        1.0000000        1.0000000        1.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.50            4                0                0                8                0                0                0                0                0.9999996        1.0000000        1.0000000        0.9999992        0.0000000        0.0000000        0.0000000        0.0000000        
-4.25            7                0                1                21               0                0                0                0                0.9999989        1.0000000        0.9999999        0.9999971        0.0000000        0.0000000        0.0000000        0.0000000        
-4.00            34               3                9                81               0                0                0                0                0.9999955        0.9999997        0.9999990        0.9999890        0.0000000        0.0000000        0.0000000        0.0000000        
-3.75            170              27               47               326              0                0                0                0                0.9999785        0.9999970        0.9999943        0.9999564        0.0000000        0.0000000        0.0000000        0.0000000        
-3.50            631              172              201              1007             0                0                0                0                0.9999154        0.9999798        0.9999742        0.9998557        0.0000000        0.0000000        0.0000000        0.0000000        
-3.25            2159             832              965              3017             0                0                0                0                0.9996995        0.9998966        0.9998777        0.9995540        0.0000000        0.0000000        0.0000000        0.0000000        
-3.00            6205             3316             3609             8074             0                0                0                0                0.9990790        0.9995650        0.9995168        0.9987466        0.0000000        0.0000000        0.0000000        0.0000000        
-2.75            16594            10332            11116            19888            0                0                0                0                0.9974196        0.9985318        0.9984052        0.9967578        0.0000000        0.0000000        0.0000000        0.0000000        
-2.50            38767            29091            30200            44058            0                0                0                0                0.9935429        0.9956227        0.9953852        0.9923520        0.0000000        0.0000000        0.0000000        0.0000000        
-2.25            81946            68686            70708            87894            0                0                0                0                0.9853483        0.9887541        0.9883144        0.9835626        0.0000000        0.0000000        0.0000000        0.0000000        
-2.00            154781           142616           144671           159418           0                0                0                0                0.9698702        0.9744925        0.9738473        0.9676208        0.0000000        0.0000000        0.0000000        0.0000000        
-1.75            264384           259768           259532           266545           0                0                0                0                0.9434318        0.9485157        0.9478941        0.9409663        0.0000000        0.0000000        0.0000000        0.0000000        
-1.50            409851           417287           416131           406549           0                0                0                0                0.9024467        0.9067870        0.9062810        0.9003114        0.0000000        0.0000000        0.0000000        0.0000000        
-1.25            580322           601907           598719           568052           0                0                0                0                0.8444145        0.8465963        0.8464091        0.8435062        0.0000000        0.0000000        0.0000000        0.0000000        
-1.00            750570           784227           779694           734394           0                0                0                0                0.7693575        0.7681736        0.7684397        0.7700668        0.0000000        0.0000000        0.0000000        0.0000000        
-0.75            894400           930130           926405           877666           0                0                0                0                0.6799175        0.6751606        0.6757992        0.6823002        0.0000000        0.0000000        0.0000000        0.0000000        
-0.50            988899           1016090          1011706          973627           0                0                0                0                0.5810276        0.5735516        0.5746286        0.5849375        0.0000000        0.0000000        0.0000000        0.0000000        
-0.25            1015500          1028120          1029459          1011069          0                0                0                1                0.4794776        0.4707396        0.4716827        0.4838306        0.0000000        0.0000000        0.0000000        0.0000001        
0.00             977796           974078           974222           978707           0                0                0                1                0.3816980        0.3733318        0.3742605        0.3859599        0.0000000        0.0000000        0.0000000        0.0000002        
0.25             884889           867115           870495           893428           0                0                0                3                0.2932091        0.2866203        0.2872110        0.2966171        0.0000000        0.0000000        0.0000000        0.0000005        
0.50             757870           730513           732840           768456           0                0                0                7                0.2174221        0.2135690        0.2139270        0.2197715        0.0000000        0.0000000        0.0000000        0.0000012        
0.75             614267           588332           591594           628770           0                0                0                7                0.1559954        0.1547358        0.1547676        0.1568945        0.0000000        0.0000000        0.0000000        0.0000019        
1.00             475080           456429           457738           488316           0                0                0                24               0.1084874        0.1090929        0.1089938        0.1080629        0.0000000        0.0000000        0.0000000        0.0000043        
1.25             353637           339815           340807           361299           0                0                0                36               0.0731237        0.0751114        0.0749131        0.0719330        0.0000000        0.0000000        0.0000000        0.0000079        
1.50             251913           245346           246064           255299           0                0                0                60               0.0479324        0.0505768        0.0503067        0.0464031        0.0000000        0.0000000        0.0000000        0.0000139        
1.75             173627           172051           172014           173855           0                0                0                72               0.0305697        0.0333717        0.0331053        0.0290176        0.0000000        0.0000000        0.0000000        0.0000211        
2.00             115196           117684           117264           114235           0                0                0                166              0.0190501        0.0216033        0.0213789        0.0175941        0.0000000        0.0000000        0.0000000        0.0000377        
2.25             74772            78039            78158            72311            0                0                0                226              0.0115729        0.0137994        0.0135631        0.0103630        0.0000000        0.0000000        0.0000000        0.0000603        
2.50             46874            51456            51092            44033            0                0                0                345              0.0068855        0.0086538        0.0084539        0.0059597        0.0000000        0.0000000        0.0000000        0.0000948        
2.75             28860            33168            32890            26052            0                0                0                549              0.0039995        0.0053370        0.0051649        0.0033545        0.0000000        0.0000000        0.0000000        0.0001497        
3.00             17172            21084            20478            15367            0                1                1                830              0.0022823        0.0032286        0.0031171        0.0018178        0.0000000        0.0000001        0.0000001        0.0002327        
