edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
-5.00            0                0                0                0                0                0                0                0                0                0                1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.68            0                0                0                0                0                0                0                0                0                0                1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.37            6                0                2                1                12               0                0                0                0                0                0.9999994        1.0000000        0.9999998        0.9999999        0.9999988        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.05            46               2                13               13               95               0                0                0                0                0                0.9999948        0.9999998        0.9999985        0.9999986        0.9999893        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-3.73            308              60               95               87               516              0                0                0                0                0                0.9999640        0.9999938        0.9999890        0.9999899        0.9999377        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-3.42            1530             489              596              705              2198             0                0                0                0                0                0.9998110        0.9999449        0.9999294        0.9999194        0.9997179        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-3.10            6315             2955             3416             3603             8351             0                0                0                0                0                0.9991795        0.9996494        0.9995878        0.9995591        0.9988828        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-2.78            21613            13757            14761            15372            25691            0                0                0                0                0                0.9970182        0.9982737        0.9981117        0.9980219        0.9963137        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-2.46            61782            47677            49843            51017            68890            0                0                0                0                0                0.9908400        0.9935060        0.9931274        0.9929202        0.9894247        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-2.15            149844           133007           135216           135951           156643           0                0                0                0                0                0.9758556        0.9802053        0.9796058        0.9793251        0.9737604        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-1.83            306456           297760           298211           299019           309420           0                0                0                0                0                0.9452100        0.9504293        0.9497847        0.9494232        0.9428184        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-1.51            536211           547976           545645           544943           530278           0                0                0                0                0                0.8915889        0.8956317        0.8952202        0.8949289        0.8897906        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-1.20            809141           845100           840842           838300           794327           0                0                0                0                0                0.8106748        0.8111217        0.8111360        0.8110989        0.8103579        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-0.88            1068036          1114140          1108709          1104536          1047526          0                0                0                0                1                0.7038712        0.6997077        0.7002651        0.7006453        0.7056053        0.0000000        0.0000000        0.0000000        0.0000000        0.0000001        
-0.56            1240862          1278134          1273513          1272796          1220944          0                0                0                0                1                0.5797850        0.5718943        0.5729138        0.5733657        0.5835109        0.0000000        0.0000000        0.0000000        0.0000000        0.0000002        
-0.25            1286106          1295745          1292901          1292218          1278200          0                0                0                0                2                0.4511744        0.4423198        0.4436237        0.4441439        0.4556909        0.0000000        0.0000000        0.0000000        0.0000000        0.0000004        
0.07             1196039          1180929          1184326          1184860          1204309          0                0                0                0                2                0.3315705        0.3242269        0.3251911        0.3256579        0.3352600        0.0000000        0.0000000        0.0000000        0.0000000        0.0000006        
0.39             1013217          982085           987018           989298           1027018          0                0                0                0                5                0.2302488        0.2260184        0.2264893        0.2267281        0.2325582        0.0000000        0.0000000        0.0000000        0.0000000        0.0000011        
0.70             788089           756617           760103           762254           803001           0                0                0                0                20               0.1514399        0.1503567        0.1504790        0.1505027        0.1522581        0.0000000        0.0000000        0.0000000        0.0000000        0.0000031        
1.02             566343           544666           547688           548961           581282           0                0                0                0                27               0.0948056        0.0958901        0.0957102        0.0956066        0.0941299        0.0000000        0.0000000        0.0000000        0.0000000        0.0000058        
1.34             382758           369300           370788           371627           390083           0                0                0                1                56               0.0565298        0.0589601        0.0586314        0.0584439        0.0551216        0.0000000        0.0000000        0.0000000        0.0000001        0.0000114        
