Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
11               0                0                0                9                0                0                0                0                0                0.9999989        1.0000000        1.0000000        1.0000000        0.9999991        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
115              7                0                0                31               0                0                0                0                0                0.9999874        0.9999993        1.0000000        1.0000000        0.9999960        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
597              107              0                0                115              0                0                0                0                0                0.9999277        0.9999886        1.0000000        1.0000000        0.9999845        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
2529             809              0                0                340              0                0                0                0                0                0.9996748        0.9999077        1.0000000        1.0000000        0.9999505        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
9552             4458             0                0                828              0                0                0                0                0                0.9987196        0.9994619        1.0000000        1.0000000        0.9998677        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
29251            19310            0                0                2233             0                0                0                0                0                0.9957945        0.9975309        1.0000000        1.0000000        0.9996444        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
77000            63307            0                0                5193             0                0                0                0                0                0.9880945        0.9912002        1.0000000        1.0000000        0.9991251        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
173718           165272           0                0                11014            0                0                0                0                0                0.9707227        0.9746730        1.0000000        1.0000000        0.9980237        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
333851           351635           0                0                22377            0                0                0                0                0                0.9373376        0.9395095        1.0000000        1.0000000        0.9957860        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
558494           617991           0                0                42617            0                0                0                0                0                0.8814882        0.8777104        1.0000000        1.0000000        0.9915243        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
814450           913230           2                0                75187            0                0                0                0                0                0.8000432        0.7863874        0.9999998        1.0000000        0.9840056        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
1049083          1161840          21               0                123915           0                0                0                0                0                0.6951349        0.6702034        0.9999977        1.0000000        0.9716141        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
1202700          1293078          251              0                192929           0                0                0                0                0                0.5748649        0.5408956        0.9999726        1.0000000        0.9523212        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
1239476          1275243          2322             0                281281           0                0                0                0                0                0.4509173        0.4133713        0.9997404        1.0000000        0.9241931        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
