edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
-5.00            0                0                0                0                1                0                0                0                0                0                1.0000000        1.0000000        1.0000000        1.0000000        0.9999999        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.70            1                0                0                0                2                0                0                0                0                0                0.9999999        1.0000000        1.0000000        1.0000000        0.9999997        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.39            3                0                3                2                12               0                0                0                0                0                0.9999996        1.0000000        0.9999997        0.9999998        0.9999985        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-4.09            51               13               14               12               68               0                0                0                0                0                0.9999945        0.9999987        0.9999983        0.9999986        0.9999917        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-3.79            224              83               126              121              396              0                0                0                0                0                0.9999721        0.9999904        0.9999857        0.9999865        0.9999521        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-3.49            1050             628              729              728              1466             0                0                0                0                0                0.9998671        0.9999276        0.9999128        0.9999137        0.9998055        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-3.18            4418             2986             3124             3153             5388             0                0                0                0                0                0.9994253        0.9996290        0.9996004        0.9995984        0.9992667        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-2.88            14704            11385            11932            12134            16759            0                0                0                0                0                0.9979549        0.9984905        0.9984072        0.9983850        0.9975908        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-2.58            42136            36182            36991            37471            46073            0                0                0                0                0                0.9937413        0.9948723        0.9947081        0.9946379        0.9929835        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-2.27            102842           95275            95662            96452            107077           0                0                0                0                0                0.9834571        0.9853448        0.9851419        0.9849927        0.9822758        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-1.97            215484           210176           210647           212091           219294           0                0                0                0                0                0.9619087        0.9643272        0.9640772        0.9637836        0.9603464        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-1.67            393410           392999           393139           393250           392950           0                0                0                0                0                0.9225677        0.9250273        0.9247633        0.9244586        0.9210514        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-1.37            625031           635187           633450           633135           615397           0                0                0                0                0                0.8600646        0.8615086        0.8614183        0.8611451        0.8595117        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-1.06            873359           893303           891687           887693           862502           0                0                0                0                0                0.7727287        0.7721783        0.7722496        0.7723758        0.7732615        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-0.76            1083392          1106974          1103604          1100597          1070313          0                0                0                0                0                0.6643895        0.6614809        0.6618892        0.6623161        0.6662302        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-0.46            1206546          1221576          1221430          1220534          1197631          0                0                0                0                0                0.5437349        0.5393233        0.5397462        0.5402627        0.5464671        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
-0.15            1212762          1215653          1214702          1214939          1212777          0                0                0                0                0                0.4224587        0.4177580        0.4182760        0.4187688        0.4251894        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
0.15             1112278          1102463          1103710          1105822          1118906          0                0                0                0                0                0.3112309        0.3075117        0.3079050        0.3081866        0.3132988        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
0.45             937112           918599           920229           921326           945626           0                0                0                0                0                0.2175197        0.2156518        0.2158821        0.2160540        0.2187362        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
0.75             728697           713181           715615           718310           739972           0                0                0                0                2                0.1446500        0.1443337        0.1443206        0.1442230        0.1447390        0.0000000        0.0000000        0.0000000        0.0000000        0.0000002        
1.06             530230           519315           520847           520412           537258           0                0                0                0                3                0.0916270        0.0924022        0.0922359        0.0921818        0.0910132        0.0000000        0.0000000        0.0000000        0.0000000        0.0000005        
1.36             361918           356712           355800           356710           365894           0                0                0                0                10               0.0554352        0.0567310        0.0566559        0.0565108        0.0544238        0.0000000        0.0000000        0.0000000        0.0000000        0.0000015        
1.66             233660           231036           231811           231966           232889           0                0                0                0                12               0.0320692        0.0336274        0.0334748        0.0333142        0.0311349        0.0000000        0.0000000        0.0000000        0.0000000        0.0000027        
1.96             142113           143824           143497           143581           141420           0                0                0                0                28               0.0178579        0.0192450        0.0191251        0.0189561        0.0169929        0.0000000        0.0000000        0.0000000        0.0000000        0.0000055        
2.27             83106            85828            86004            85326            81096            0                0                0                0                50               0.0095473        0.0106622        0.0105247        0.0104235        0.0088833        0.0000000        0.0000000        0.0000000        0.0000000        0.0000105        
2.57             46561            49498            48856            48438            44200            0                0                0                0                102              0.0048912        0.0057124        0.0056391        0.0055797        0.0044633        0.0000000        0.0000000        0.0000000        0.0000000        0.0000207        
2.87             24636            27375            27169            26777            22951            0                0                0                0                175              0.0024276        0.0029749        0.0029222        0.0029020        0.0021682        0.0000000        0.0000000        0.0000000        0.0000000        0.0000382        
3.18             12484            14656            14668            14489            11674            0                0                0                0                330              0.0011792        0.0015093        0.0014554        0.0014531        0.0010008        0.0000000        0.0000000        0.0000000        0.0000000        0.0000712        
3.48             6240             7787             7446             7348             5566             0                0                1                0                601              0.0005552        0.0007306        0.0007108        0.0007183        0.0004442        0.0000000        0.0000000        0.0000001        0.0000000        0.0001313        
3.78             3042             3788             3750             3780             2438             0                0                0                0                941              0.0002510        0.0003518        0.0003358        0.0003403        0.0002004        0.0000000        0.0000000        0.0000001        0.0000000        0.0002254        
4.08             1403             1862             1795             1863             1162             0                2                1                0                1571             0.0001107        0.0001656        0.0001563        0.0001540        0.0000842        0.0000000        0.0000002        0.0000002        0.0000000        0.0003825        
4.39             636              933              847              898              474              0                1                2                2                2506             0.0000471        0.0000723        0.0000716        0.0000642        0.0000368        0.0000000        0.0000003        0.0000004        0.0000002        0.0006331        
4.69             268              398              424              355              229              0                2                2                3                3924             0.0000203        0.0000325        0.0000292        0.0000287        0.0000139        0.0000000        0.0000005        0.0000006        0.0000005        0.0010255        
4.99             110              177              175              169              88               0                4                6                8                6228             0.0000093        0.0000148        0.0000117        0.0000118        0.0000051        0.0000000        0.0000009        0.0000012        0.0000013        0.0016483        
5.30             51               86               71               71               37               1                8                8                14               9054             0.0000042        0.0000062        0.0000046        0.0000047        0.0000014        0.0000001        0.0000017        0.0000020        0.0000027        0.0025537        
5.60             25               40               27               29               7                0                16               18               17               13847            0.0000017        0.0000022        0.0000019        0.0000018        0.0000007        0.0000001        0.0000033        0.0000038        0.0000044        0.0039384        
5.90             10               14               12               10               6                0                18               28               31               19670            0.0000007        0.0000008        0.0000007        0.0000008        0.0000001        0.0000001        0.0000051        0.0000066        0.0000075        0.0059054        
6.20             5                3                2                3                1                0                38               41               54               27813            0.0000002        0.0000005        0.0000005        0.0000005        0.0000000        0.0000001        0.0000089        0.0000107        0.0000129        0.0086867        
6.51             2                4                4                4                0                0                60               88               104              38122            0.0000000        0.0000001        0.0000001        0.0000001        0.0000000        0.0000001        0.0000149        0.0000195        0.0000233        0.0124989        
6.81             0                1                0                0                0                0                78               126              166              51992            0.0000000        0.0000000        0.0000001        0.0000001        0.0000000        0.0000001        0.0000227        0.0000321        0.0000399        0.0176981        
7.11             0                0                1                1                0                2                137              194              213              68329            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000003        0.0000364        0.0000515        0.0000612        0.0245310        
7.42             0                0                0                0                0                5                212              306              395              89309            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000008        0.0000576        0.0000821        0.0001007        0.0334619        
7.72             0                0                0                0                0                3                323              495              584              114347           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000011        0.0000899        0.0001316        0.0001591        0.0448966        
8.02             0                0                0                0                0                14               507              713              900              142749           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000025        0.0001406        0.0002029        0.0002491        0.0591715        
8.32             0                0                0                0                0                23               723              1051             1308             174915           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000048        0.0002129        0.0003080        0.0003799        0.0766630        
8.63             0                0                0                0                0                43               1086             1623             1870             210288           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000091        0.0003215        0.0004703        0.0005669        0.0976918        
8.93             0                0                0                0                0                63               1613             2351             2691             248130           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000154        0.0004828        0.0007054        0.0008360        0.1225048        
9.23             0                0                0                0                0                100              2408             3335             3926             288856           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000254        0.0007236        0.0010389        0.0012286        0.1513904        
9.54             0                0                0                0                0                175              3262             4638             5404             327546           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000429        0.0010498        0.0015027        0.0017690        0.1841450        
9.84             0                0                0                0                0                237              4564             6383             7605             368319           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000666        0.0015062        0.0021410        0.0025295        0.2209769        
10.14            0                0                0                0                0                386              6469             8759             10265            404006           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0001052        0.0021531        0.0030169        0.0035560        0.2613775        
10.44            0                0                0                0                0                621              8564             12172            13836            437504           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0001673        0.0030095        0.0042341        0.0049396        0.3051279        
