Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
3                2                0                0                1                0                0                0                0                0                0.9999997        0.9999998        1.0000000        1.0000000        0.9999999        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
35               17               0                0                3                0                0                0                0                0                0.9999962        0.9999981        1.0000000        1.0000000        0.9999996        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
167              108              0                0                9                0                0                0                0                0                0.9999795        0.9999873        1.0000000        1.0000000        0.9999987        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
727              713              0                0                27               0                0                0                0                0                0.9999068        0.9999160        1.0000000        1.0000000        0.9999960        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
2966             3016             0                0                117              0                0                0                0                0                0.9996102        0.9996144        1.0000000        1.0000000        0.9999843        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
10078            10929            3                0                323              0                0                0                0                0                0.9986024        0.9985215        0.9999997        1.0000000        0.9999520        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
29423            33011            16               0                819              0                0                0                0                0                0.9956601        0.9952204        0.9999981        1.0000000        0.9998701        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
72979            84186            182              0                2049             0                0                0                0                0                0.9883622        0.9868018        0.9999799        1.0000000        0.9996652        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
157600           182606           1138             1                4971             0                0                0                0                0                0.9726022        0.9685412        0.9998661        0.9999999        0.9991681        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
298317           339961           5291             2                10882            0                0                0                0                0                0.9427705        0.9345451        0.9993370        0.9999997        0.9980799        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
493699           552069           20899            44               22598            0                0                0                0                0                0.8934006        0.8793382        0.9972471        0.9999953        0.9958201        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
724793           788739           65801            345              43689            0                0                0                0                0                0.8209213        0.8004643        0.9906670        0.9999608        0.9914512        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
945145           1003294          166887           1720             77300            0                0                0                0                0                0.7264068        0.7001349        0.9739783        0.9997888        0.9837212        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
1110742          1139851          351748           7479             129568           0                0                0                0                0                0.6153326        0.5861498        0.9388035        0.9990409        0.9707644        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
1181556          1176211          619124           25575            201704           0                0                0                0                0                0.4971770        0.4685287        0.8768911        0.9964834        0.9505940        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
1146774          1112279          923637           72563            296734           0                0                0                0                0                0.3824996        0.3573008        0.7845274        0.9892271        0.9209206        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
1023395          968663           1183798          171537           405829           0                0                0                0                0                0.2801601        0.2604345        0.6661476        0.9720734        0.8803377        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
847662           787747           1327264          341266           526999           0                0                0                0                0                0.1953939        0.1816598        0.5334212        0.9379468        0.8276378        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
652161           600932           1312010          579168           645883           0                0                0                0                0                0.1301778        0.1215666        0.4022202        0.8800300        0.7630495        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
472069           433023           1168597          849741           744718           0                0                0                0                0                0.0829709        0.0782643        0.2853605        0.7950559        0.6885777        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
323491           296992           940646           1090227          816722           0                0                0                0                0                0.0506218        0.0485651        0.1912959        0.6860332        0.6069055        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
209488           193692           699759           1239331          855253           0                0                0                0                0                0.0296730        0.0291959        0.1213200        0.5621001        0.5213802        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
128824           121684           481776           1257048          848059           0                0                0                0                0                0.0167906        0.0170275        0.0731424        0.4363953        0.4365743        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
76600            74071            310628           1156002          807592           0                0                0                0                0                0.0091306        0.0096204        0.0420796        0.3207951        0.3558151        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
43478            43392            188950           969531           733671           0                0                0                0                0                0.0047828        0.0052812        0.0231846        0.2238420        0.2824480        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
23507            24620            109201           754824           641080           0                0                0                0                0                0.0024321        0.0028192        0.0122645        0.1483596        0.2183400        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
12202            13449            60178            544629           538891           0                0                0                0                0                0.0012119        0.0014743        0.0062467        0.0938967        0.1644509        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        
6256             7380             31649            370249           437961           0                0                0                0                2                0.0005863        0.0007363        0.0030818        0.0568718        0.1206548        0.0000000        0.0000000        0.0000000        0.0000000        0.0000002        
3131             3707             16381            238276           341792           0                0                0                0                3                0.0002732        0.0003656        0.0014437        0.0330442        0.0864756        0.0000000        0.0000000        0.0000000        0.0000000        0.0000005        
1468             1842             7836             145542           260935           0                2                1                0                5                0.0001264        0.0001814        0.0006601        0.0184900        0.0603821        0.0000000        0.0000002        0.0000001        0.0000000        0.0000010        
711              995              3673             85005            191491           0                1                0                0                9                0.0000553        0.0000819        0.0002928        0.0099895        0.0412330        0.0000000        0.0000003        0.0000001        0.0000000        0.0000019        
314              442              1668             47461            136722           0                2                2                0                12               0.0000239        0.0000377        0.0001260        0.0052434        0.0275608        0.0000000        0.0000005        0.0000003        0.0000000        0.0000031        
133              197              735              25751            95329            0                3                2                0                21               0.0000106        0.0000180        0.0000525        0.0026683        0.0180279        0.0000000        0.0000008        0.0000005        0.0000000        0.0000052        
56               100              321              13611            64805            0                8                4                0                33               0.0000050        0.0000080        0.0000204        0.0013072        0.0115474        0.0000000        0.0000016        0.0000009        0.0000000        0.0000085        
