Nfa_float_q64_pw0    Nfa_float_q64_pw1    Nfa_float_q64_pw2    Nfa_float_q64_pw4    Nfa_float_q64_pw8    Nfa_int16_q64_pw0    Nfa_int16_q64_pw1    Nfa_int16_q64_pw2    Nfa_int16_q64_pw4    Nfa_int16_q64_pw8    Nmd_float_q64_pw0    Nmd_float_q64_pw1    Nmd_float_q64_pw2    Nmd_float_q64_pw4    Nmd_float_q64_pw8    Nmd_int16_q64_pw0    Nmd_int16_q64_pw1    Nmd_int16_q64_pw2    Nmd_int16_q64_pw4    Nmd_int16_q64_pw8    Pfa_float_q64_pw0    Pfa_float_q64_pw1    Pfa_float_q64_pw2    Pfa_float_q64_pw4    Pfa_float_q64_pw8    Pfa_int16_q64_pw0    Pfa_int16_q64_pw1    Pfa_int16_q64_pw2    Pfa_int16_q64_pw4    Pfa_int16_q64_pw8    Pmd_float_q64_pw0    Pmd_float_q64_pw1    Pmd_float_q64_pw2    Pmd_float_q64_pw4    Pmd_float_q64_pw8    Pmd_int16_q64_pw0    Pmd_int16_q64_pw1    Pmd_int16_q64_pw2    Pmd_int16_q64_pw4    Pmd_int16_q64_pw8    
2                    0                    0                    6                    2                    10                   1                    3                    5                    10                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9999998            1.0000000            1.0000000            0.9999994            0.9999998            0.9999990            0.9999999            0.9999997            0.9999995            0.9999990            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
9                    5                    3                    25                   8                    23                   2                    2                    29                   54                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9999989            0.9999995            0.9999997            0.9999969            0.9999990            0.9999967            0.9999997            0.9999995            0.9999966            0.9999936            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
22                   15                   6                    107                  31                   112                  8                    30                   137                  241                  0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9999967            0.9999980            0.9999991            0.9999862            0.9999959            0.9999855            0.9999989            0.9999965            0.9999829            0.9999695            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
46                   49                   21                   337                  95                   430                  30                   117                  583                  956                  0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9999921            0.9999931            0.9999970            0.9999525            0.9999864            0.9999425            0.9999959            0.9999848            0.9999246            0.9998739            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
144                  147                  85                   1052                 364                  1046                 100                  440                  2095                 3323                 0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9999777            0.9999784            0.9999885            0.9998473            0.9999500            0.9998379            0.9999859            0.9999408            0.9997151            0.9995416            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
340                  328                  291                  2746                 1205                 2866                 418                  1775                 6804                 10287                0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9999437            0.9999456            0.9999594            0.9995727            0.9998295            0.9995513            0.9999441            0.9997633            0.9990347            0.9985129            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
851                  961                  903                  6857                 3458                 6741                 1133                 5278                 18167                27628                0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9998586            0.9998495            0.9998691            0.9988870            0.9994837            0.9988772            0.9998308            0.9992355            0.9972180            0.9957501            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
2007                 2150                 2444                 16063                8659                 20106                2923                 13873                44164                64230                0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9996579            0.9996345            0.9996247            0.9972807            0.9986178            0.9968666            0.9995385            0.9978482            0.9928016            0.9893271            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
4322                 4727                 6027                 34080                20278                34423                6626                 33465                94459                132283               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9992257            0.9991618            0.9990220            0.9938727            0.9965900            0.9934243            0.9988759            0.9945017            0.9833557            0.9760988            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
8971                 9617                 14134                65770                43062                63687                14239                71556                182108               242261               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9983286            0.9982001            0.9976086            0.9872957            0.9922838            0.9870556            0.9974520            0.9873461            0.9651449            0.9518727            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
16902                18642                29856                117691               84063                110046               29375                138050               310965               281020               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9966384            0.9963359            0.9946230            0.9755266            0.9838775            0.9760510            0.9945145            0.9735411            0.9340484            0.9237707            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
31314                34185                58419                194828               149576               234241               74520                239320               478474               538358               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9935070            0.9929174            0.9887811            0.9560438            0.9689199            0.9526269            0.9870625            0.9496091            0.8862010            0.8699349            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
53716                59021                104150               299217               243377               291458               109991               496300               668804               735943               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9881354            0.9870153            0.9783661            0.9261221            0.9445822            0.9234811            0.9760634            0.8999791            0.8193206            0.7963406            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
88440                96414                175342               425433               367006               407423               176595               589378               851082               914957               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9792914            0.9773739            0.9608319            0.8835788            0.9078816            0.8827388            0.9584039            0.8410413            0.7342124            0.7048449            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
137203               149250               271523               565848               511455               532943               265838               762095               993220               1040511              0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9655711            0.9624489            0.9336796            0.8269940            0.8567361            0.8294445            0.9318201            0.7648318            0.6348904            0.6007938            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
203284               220483               392997               704335               661974               842025               375788               909042               1067384              1089617              0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9452427            0.9404006            0.8943799            0.7565605            0.7905387            0.7452420            0.8942413            0.6739276            0.5281520            0.4918321            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
285607               308051               529759               820421               800656               793081               501043               1007166              1064035              1059056              0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.9166820            0.9095955            0.8414040            0.6745184            0.7104731            0.6659339            0.8441370            0.5732110            0.4217485            0.3859265            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
381749               409656               670018               900179               904154               864592               803077               1035282              986145               954800               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.8785071            0.8686299            0.7744022            0.5845005            0.6200577            0.5794747            0.7638293            0.4696828            0.3231340            0.2904465            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
485920               517051               794491               931975               954403               893945               769226               995727               859224               810231               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.8299151            0.8169248            0.6949531            0.4913030            0.5246174            0.4900802            0.6869067            0.3701101            0.2372116            0.2094234            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
591040               622967               885840               911726               951431               1092957              851603               896917               700414               644127               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.7708111            0.7546281            0.6063691            0.4001304            0.4294743            0.3807845            0.6017464            0.2804184            0.1671702            0.1450107            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
686266               716232               930274               844776               896101               804147               891199               760802               539241               484539               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.7021845            0.6830049            0.5133417            0.3156528            0.3398642            0.3003698            0.5126265            0.2043382            0.1132461            0.0965568            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
761704               788981               922814               745451               800095               710745               885858               611473               395402               272101               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.6260141            0.6041068            0.4210603            0.2411077            0.2598547            0.2292953            0.4240407            0.1431909            0.0737059            0.0693467            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
808710               828221               868838               629207               677819               598291               1042593              466296               274640               261919               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.5451431            0.5212847            0.3341765            0.1781870            0.1920728            0.1694662            0.3197814            0.0965613            0.0462419            0.0431548            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
822427               831831               775388               507710               547616               586751               736061               337793               182541               172523               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.4629004            0.4381016            0.2566377            0.1274160            0.1373112            0.1107911            0.2461753            0.0627820            0.0279878            0.0259025            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
803546               799603               660868               391007               423733               348973               627879               233016               116353               108748               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.3825458            0.3581413            0.1905509            0.0883153            0.0949379            0.0758938            0.1833874            0.0394804            0.0163525            0.0150277            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
