pfa             pmd             Nfa             Nmd             score           
0.99999960      0.00000000      4               0               3236            
0.99999920      0.00000000      4               0               3242            
0.99999780      0.00000000      14              0               3248            
0.99999390      0.00000000      39              0               3255            
0.99998290      0.00000000      110             0               3261            
0.99995390      0.00000000      290             0               3267            
0.99988520      0.00000000      687             0               3274            
0.99972140      0.00000000      1638            0               3280            
0.99938580      0.00000000      3356            0               3287            
0.99868260      0.00000000      7032            0               3293            
0.99733130      0.00000000      13513           0               3299            
0.99488800      0.00000000      24433           0               3306            
0.99064670      0.00000000      42413           0               3312            
0.98371770      0.00000000      69290           0               3318            
0.97299840      0.00000000      107193          0               3325            
0.95712570      0.00000000      158727          0               3331            
0.93495280      0.00000000      221729          0               3337            
0.90518160      0.00000000      297712          0               3344            
0.86700580      0.00000000      381758          0               3350            
0.82025430      0.00000000      467515          0               3357            
0.76539630      0.00000000      548580          0               3363            
0.70350350      0.00000000      618928          0               3369            
0.63625760      0.00000000      672459          0               3376            
0.56572430      0.00000000      705333          0               3382            
0.49448060      0.00000000      712437          0               3388            
0.42450200      0.00000000      699786          0               3395            
0.35816990      0.00000000      663321          0               3401            
0.29689860      0.00000000      612713          0               3407            
0.24190300      0.00000000      549956          0               3414            
0.19374720      0.00000000      481558          0               3420            
0.15282130      0.00000000      409259          0               3427            
0.11874970      0.00000000      340716          0               3433            
0.09075850      0.00000000      279912          0               3439            
0.06838620      0.00000000      223723          0               3446            
0.05083800      0.00000000      175482          0               3452            
0.03729660      0.00000000      135414          0               3458            
0.02703960      0.00000000      102570          0               3465            
0.01934860      0.00000000      76910           0               3471            
0.01369090      0.00000000      56577           0               3477            
0.00955950      0.00000000      41314           0               3484            
0.00663650      0.00000000      29230           0               3490            
0.00453820      0.00000000      20983           0               3497            
0.00307660      0.00000000      14616           0               3503            
0.00206440      0.00000000      10122           0               3509            
0.00138730      0.00000000      6771            0               3516            
0.00091620      0.00000000      4711            0               3522            
0.00059620      0.00000000      3200            0               3528            
0.00038920      0.00000000      2070            0               3535            
0.00024800      0.00000000      1412            0               3541            
0.00015990      0.00000000      881             0               3547            
0.00010210      0.00000000      578             0               3554            
0.00006250      0.00000000      396             0               3560            
0.00003780      0.00000000      247             0               3566            
0.00002340      0.00000000      144             0               3573            
