x,0,pi_2,pi,2pi
1,34,34,34,34
2,32,32,32,32
3,32,32,32,32
4,32,32,32,32
5,36,36,36,36
6,41,41,41,41
7,42,42,42,42
8,40,40,40,40
9,44,44,44,44
10,42,42,42,42
11,38,38,38,38
12,36,36,36,36
13,33,33,33,33
14,31,31,31,31
15,37,37,37,37
16,33,33,33,33
17,32,32,32,32
18,34,34,34,34
19,36,36,36,36
20,41,41,41,41
21,39,39,39,39
22,37,37,37,37
23,35,35,35,35
24,37,37,37,37
25,40,40,40,40
26,42,42,42,42
27,38,38,38,38
28,40,40,40,40
29,42,42,42,42
30,43,43,43,43
31,43,43,43,43
32,41,41,41,41
33,42,42,42,42
34,41,41,41,41
35,41,41,41,41
36,42,42,42,42
37,40,40,40,40
38,38,38,38,38
39,33,33,33,33
40,35,35,35,35
41,38,38,38,38
42,39,39,39,39
43,36,36,36,36
44,37,37,37,37
45,33,33,33,33
46,31,31,31,31
47,31,31,31,31
48,33,33,33,33
49,29,29,29,29
50,32,32,32,32
51,29,29,29,29
52,32,32,32,32
53,32,32,32,32
54,34,34,34,34
55,38,38,38,38
56,38,38,38,38
57,35,35,35,35
58,38,38,38,38
59,34,34,34,34
60,32,32,32,32
61,34,34,34,34
62,32,32,32,32
63,32,32,32,32
64,34,34,34,34
65,36,36,36,36
66,33,33,33,33
67,34,34,34,34
68,33,33,33,33
69,36,36,36,36
70,40,40,40,40
71,40,40,40,40
72,38,38,38,38
73,41,41,41,41
74,38,38,38,38
75,33,33,33,33
76,32,32,32,32
77,29,29,29,29
78,26,26,26,26
79,31,31,31,31
80,28,28,28,28
81,27,27,27,27
82,30,30,30,30
83,31,31,31,31
84,37,37,37,37
85,35,35,35,35
86,34,34,34,34
87,31,31,31,31
88,32,32,32,32
89,34,34,34,34
90,35,35,35,35
91,34,34,34,34
92,36,36,36,36
93,36,36,36,36
94,37,37,37,37
95,38,38,38,38
96,36,36,36,36
97,37,37,37,37
98,37,37,37,37
99,37,37,37,37
100,37,37,37,37
101,33,33,33,33
102,33,33,33,33
103,28,28,28,28
104,30,30,30,30
105,33,33,33,33
106,33,33,33,33
107,32,32,32,32
108,32,32,32,32
109,29,29,29,29
110,29,29,29,29
111,27,27,27,27
112,28,28,28,28
113,25,25,25,25
114,29,29,29,29
115,27,27,27,27
116,30,30,30,30
117,30,30,30,30
118,32,32,32,32
119,35,35,35,35
120,36,36,36,36
121,34,34,34,34
122,38,38,38,38
123,34,34,34,34
124,32,32,32,32
125,33,33,33,33
126,32,32,32,32
127,31,31,31,31
128,34,34,34,34
129,37,37,37,37
130,35,35,35,35
131,32,32,32,33
132,33,33,33,33
133,35,35,35,35
134,38,38,38,38
135,37,37,37,37
136,36,36,36,36
137,41,40,40,40
138,39,39,39,38
139,35,35,35,35
140,34,34,33,33
141,30,30,30,30
142,27,27,27,27
143,33,32,32,31
144,30,30,29,29
145,26,26,26,25
146,29,28,28,28
147,31,31,31,31
148,35,35,35,35
149,35,34,34,34
150,36,36,36,36
151,34,34,34,34
152,36,35,35,35
153,38,37,37,37
154,39,38,38,38
155,38,37,37,37
156,38,38,37,37
157,39,39,39,38
158,39,38,38,39
159,38,38,38,39
160,34,34,34,35
161,37,36,36,36
162,38,38,37,37
163,37,37,37,36
164,37,37,36,36
165,33,32,32,33
166,35,35,35,35
167,29,29,29,30
168,29,29,29,29
169,32,32,32,32
170,32,32,32,32
171,30,30,30,31
172,33,33,33,32
173,30,30,30,29
174,32,32,32,32
175,31,30,29,29
176,32,32,31,30
177,31,30,29,29
178,34,32,31,31
179,31,29,29,29
180,35,32,32,32
181,37,34,33,32
182,40,37,37,36
183,43,41,38,37
184,47,45,39,39
185,45,42,36,36
186,47,45,39,39
187,43,40,33,33
188,41,37,30,30
189,43,39,31,32
190,41,37,29,30
191,40,35,28,29
192,43,38,30,32
193,46,41,33,35
194,45,42,34,35
195,42,40,32,34
196,42,39,32,33
197,43,41,34,36
198,45,42,35,38
199,43,40,35,38
200,41,36,31,33
201,45,39,37,39
202,41,35,34,35
203,39,33,30,30
204,37,31,30,28
205,35,29,27,23
206,33,27,26,21
207,37,33,31,27
208,37,32,29,27
209,32,28,25,23
210,35,30,30,27
211,36,31,31,28
212,39,34,33,33
213,40,34,33,32
214,40,36,37,34
215,37,34,35,33
216,37,35,37,33
217,37,36,38,35
218,37,35,36,33
219,38,36,36,35
220,38,37,36,36
221,38,39,38,37
222,37,38,37,38
223,37,37,36,38
224,33,32,33,34
225,36,35,34,34
226,38,38,36,37
227,37,37,36,36
228,38,38,37,38
229,34,33,33,34
230,36,36,36,37
231,30,31,31,31
232,31,31,32,31
233,32,32,33,32
234,34,33,35,32
235,32,32,34,31
236,34,34,37,33
237,34,33,36,32
238,34,33,38,33
239,36,33,36,33
240,37,33,37,34
241,36,32,37,33
242,37,33,36,33
243,35,30,34,32
244,37,32,36,34
245,38,33,36,33
246,41,36,39,37
247,44,40,41,39
248,48,43,42,41
249,49,42,41,41
250,51,46,44,43
251,49,43,40,40
252,47,41,37,37
253,50,44,38,39
254,47,41,34,35
255,47,40,34,35
256,50,41,35,37
257,52,45,39,41
