p_delta  p_omega  det_throughput  
8        1        1.636e+00       
8        3        1.077e+00       
8        5        7.019e-01       
8        9        4.893e-01       
16       1        1.332e+00       
16       3        6.263e-01       
16       5        4.600e-01       
16       9        2.639e-01       
32       1        8.739e-01       
32       3        3.621e-01       
32       5        2.403e-01       
32       9        1.432e-01       
64       1        4.542e-01       
64       3        1.936e-01       
64       5        1.270e-01       
64       9        7.442e-02       
