p_delta  p_omega  det_throughput  
8        1        1.402e+01       
8        3        8.692e+00       
8        5        6.489e+00       
8        9        4.217e+00       
16       1        1.049e+01       
16       3        5.899e+00       
16       5        4.094e+00       
16       9        2.499e+00       
32       1        7.064e+00       
32       3        3.190e+00       
32       5        2.162e+00       
32       9        1.329e+00       
64       1        4.046e+00       
64       3        1.863e+00       
64       5        1.183e+00       
64       9        6.960e-01       
