p_delta  p_omega  det_throughput  
8        1        1.900e-01       
8        3        7.387e-02       
8        5        4.587e-02       
8        9        2.615e-02       
16       1        9.694e-02       
16       3        3.733e-02       
16       5        2.313e-02       
16       9        1.308e-02       
32       1        4.923e-02       
32       3        1.873e-02       
32       5        1.159e-02       
32       9        6.575e-03       
64       1        2.479e-02       
64       3        9.390e-03       
64       5        5.807e-03       
64       9        3.284e-03       
