p_delta  p_omega  det_throughput  
8        1        1.252e+00       
8        3        5.141e-01       
8        5        3.288e-01       
8        9        1.906e-01       
16       1        6.968e-01       
16       3        2.676e-01       
16       5        1.692e-01       
16       9        9.514e-02       
32       1        3.682e-01       
32       3        1.390e-01       
32       5        8.546e-02       
32       9        4.833e-02       
64       1        1.837e-01       
64       3        6.817e-02       
64       5        4.249e-02       
64       9        2.392e-02       
