p_delta  p_omega  det_throughput  
8        1        5.633e-01       
8        3        2.185e-01       
8        5        1.352e-01       
8        9        7.686e-02       
16       1        2.888e-01       
16       3        1.106e-01       
16       5        6.834e-02       
16       9        3.877e-02       
32       1        1.467e-01       
32       3        5.566e-02       
32       5        3.439e-02       
32       9        1.945e-02       
64       1        7.385e-02       
64       3        2.801e-02       
64       5        1.729e-02       
64       9        9.766e-03       
