p_delta  p_omega  det_throughput  
8        1        8.745e+00       
8        3        3.809e+00       
8        5        2.477e+00       
8        9        1.450e+00       
16       1        4.899e+00       
16       3        2.039e+00       
16       5        1.282e+00       
16       9        7.439e-01       
32       1        2.519e+00       
32       3        1.037e+00       
32       5        6.476e-01       
32       9        3.721e-01       
64       1        1.280e+00       
64       3        5.174e-01       
64       5        3.263e-01       
64       9        1.872e-01       
